case_id,Total Jurors,X_votes,Y_votes
case_105,3,3,0
case_107,3,3,0
case_109,3,2,1
case_112,3,3,0
case_1125,27,21,6
case_120,3,3,0
case_121,2,2,0
case_131,2,2,0
case_1322,19,19,0
case_1347,27,27,0
case_138,3,3,0
case_139,3,3,0
case_140,3,2,1
case_141,3,3,0
case_142,3,3,0
case_143,3,3,0
case_144,3,2,1
case_145,2,2,0
case_149,3,3,0
case_151,3,3,0
case_156,1,1,0
case_1586,18,15,3
case_163,2,2,0
case_164,3,2,1
case_1649,2,2,0
case_165,2,1,1
case_1652,1,1,0
case_1654,22,22,0
case_1655,23,23,0
case_1656,23,22,1
case_168,1,1,0
case_172,1,1,0
case_301,4,3,1
case_328,3,3,0
case_541,2,1,1
case_548,3,3,0
case_549,3,3,0
case_550,6,4,2
case_559,6,5,1
case_561,7,6,1
case_574,4,4,0
case_592,5,4,1
case_640,7,7,0
case_641,6,6,0
case_92,3,2,1
